cluster_index, module_index, channel0, channel1

Event: 0
8,626,228,834
8,626,228,835
8,626,228,836
9,626,230,846
9,626,231,846
9,626,230,847
10,639,26,770
10,639,25,771
11,639,226,943
11,639,226,944
12,639,31,1061
12,639,31,1062
12,639,30,1063
13,639,275,1321
13,639,276,1321
13,639,275,1322
14,640,52,148
14,640,52,149
15,737,319,686
15,737,319,687
15,737,319,688
15,737,319,689
15,737,319,690
16,751,49,643
16,751,49,644
16,751,49,645
16,751,49,646
17,766,292,400
17,766,292,401
18,780,21,379
18,780,21,380
19,849,172,143
19,849,172,144
19,849,171,145
19,849,170,146
19,849,171,146
19,849,169,147
19,849,170,147
19,849,169,148
20,976,263,933
21,1090,245,236
21,1090,245,237
21,1090,245,238
21,1090,245,239
21,1090,245,240
22,1203,187,91
22,1203,187,92
22,1203,187,93
22,1203,187,94
22,1203,187,95
23,1338,69,752
23,1338,69,753
23,1338,69,754
23,1338,69,755
24,1381,100,1280
24,1381,100,1281
25,1732,293,736
25,1732,293,737
26,1774,14,729
26,1774,15,729
27,2032,326,202
27,2032,327,202
27,2032,326,203
27,2032,326,204
27,2032,326,205
28,2046,50,247
28,2046,50,248
28,2046,50,249
28,2046,50,250
29,2233,289,600
29,2233,289,601
29,2233,289,602
29,2233,289,603
29,2233,289,604
30,2247,12,549
30,2247,12,550
30,2247,12,551
30,2247,12,552
31,2319,209,609
31,2319,209,610
31,2319,210,610
32,2864,144,1435
32,2864,145,1435
32,2864,142,1436
32,2864,143,1436
32,2864,141,1437
32,2864,142,1437
32,2864,139,1438
32,2864,140,1438
32,2864,141,1438
33,2894,221,495
33,2894,221,496
33,2894,222,496
34,4156,314,75
35,4177,38,67
36,4315,201,78
37,4401,50,86
38,4822,218,79
39,5103,200,7
39,5103,200,8
40,5322,264,44
40,5322,264,45
41,5409,124,34
41,5409,124,35
42,6040,139,62
43,6427,280,84
44,6448,9,77
45,6727,241,55
46,6857,231,53
46,6857,232,53
47,7720,242,36
47,7720,243,36
48,7867,142,8
49,8256,233,89
50,8646,181,42
51,8830,86,64
52,11630,60,0
53,11631,56,0
54,12874,217,0
55,12875,216,0
55,12875,217,0
56,14182,362,0
57,14183,363,0
58,14224,15,0
59,14225,13,0
60,15854,354,0
61,15855,357,0
62,15896,31,0
63,15897,30,0
64,17668,95,0
65,17669,101,0
66,17780,69,0
67,17781,66,0

Event: 5
0,555,169,778
0,555,168,779
0,555,169,779
0,555,167,780
0,555,168,780
0,555,166,781
0,555,167,781
0,555,165,782
0,555,166,782
0,555,164,783
0,555,165,783
0,555,163,784
0,555,164,784
0,555,162,785
0,555,163,785
0,555,155,786
0,555,161,786
0,555,162,786
0,555,155,787
0,555,160,787
0,555,161,787
0,555,155,788
0,555,159,788
0,555,160,788
0,555,161,788
0,555,162,788
0,555,163,788
0,555,164,788
0,555,155,789
0,555,158,789
0,555,159,789
0,555,164,789
0,555,165,789
0,555,155,790
0,555,157,790
0,555,158,790
0,555,156,791
0,555,155,792
0,555,156,792
0,555,154,793
0,555,155,793
0,555,156,793
1,555,164,793
0,555,152,794
0,555,153,794
0,555,156,794
1,555,165,794
0,555,152,795
0,555,156,795
0,555,150,796
0,555,151,796
0,555,156,796
0,555,157,796
0,555,150,797
0,555,157,797
0,555,149,798
0,555,157,798
0,555,157,799
0,555,157,800
0,555,157,801
0,555,158,801
0,555,158,802
0,555,158,803
0,555,158,804
2,555,154,805
0,555,158,805
2,555,154,806
0,555,158,806
0,555,159,806
0,555,159,807
0,555,159,808
0,555,159,809
0,555,159,810
0,555,159,811
0,555,159,812
0,555,160,812
0,555,160,813
0,555,160,814
0,555,160,815
3,568,157,663
3,568,157,664
3,568,158,664
3,568,158,665
3,568,158,666
3,568,158,667
3,568,158,668
3,568,158,669
3,568,158,670
4,596,87,1269
4,596,87,1270
4,596,87,1271
4,596,87,1272
4,596,87,1273
5,626,209,672
5,626,209,673
5,626,209,674
5,626,209,675
6,693,266,1342
6,693,266,1343
6,693,266,1344
6,693,266,1345
6,693,266,1346
7,767,249,342
7,767,249,343
7,767,249,344
7,767,249,345
8,1045,157,424
8,1045,158,424
8,1045,158,425
9,1070,153,713
9,1070,154,713
9,1070,155,713
9,1070,156,713
9,1070,157,713
9,1070,158,713
9,1070,159,713
9,1070,151,714
9,1070,152,714
9,1070,153,714
9,1070,154,714
9,1070,155,714
10,1070,109,724
10,1070,106,725
10,1070,107,725
10,1070,108,725
10,1070,103,726
10,1070,104,726
10,1070,105,726
10,1070,102,727
10,1070,103,727
11,1070,105,836
11,1070,106,836
11,1070,106,837
11,1070,107,837
11,1070,108,837
11,1070,108,838
11,1070,109,838
12,1070,201,878
12,1070,202,879
12,1070,202,880
12,1070,203,881
12,1070,203,882
12,1070,204,882
12,1070,204,883
12,1070,205,884
12,1070,205,885
12,1070,206,886
13,1070,236,1044
13,1070,236,1045
13,1070,237,1046
13,1070,237,1047
13,1070,237,1048
13,1070,237,1049
13,1070,238,1049
13,1070,238,1050
13,1070,238,1051
13,1070,238,1052
14,1070,140,1428
14,1070,140,1429
14,1070,140,1430
14,1070,140,1431
14,1070,140,1432
14,1070,140,1433
14,1070,140,1434
14,1070,140,1435
15,1128,81,1398
15,1128,81,1399
16,1163,115,148
16,1163,115,149
16,1163,115,150
16,1163,115,151
16,1163,115,152
16,1163,115,153
16,1163,115,154
16,1163,115,155
17,1238,300,980
17,1238,300,981
17,1238,300,982
17,1238,300,983
17,1238,300,984
17,1238,300,985
18,1252,21,912
18,1252,21,913
18,1252,21,914
18,1252,21,915
18,1252,21,916
19,1370,298,324
19,1370,298,325
19,1370,298,326
19,1370,298,327
20,1384,20,378
20,1384,20,379
20,1384,20,380
20,1384,19,381
20,1384,20,381
20,1384,19,382
21,1912,318,838
21,1912,318,839
22,1926,42,822
22,1926,42,823
23,2115,93,172
23,2115,93,173
23,2115,93,174
23,2115,93,175
23,2115,93,176
23,2115,94,176
23,2115,94,177
24,2323,79,663
24,2323,79,664
24,2323,79,665
24,2323,79,666
24,2323,79,667
25,3758,509,63
25,3758,510,63
26,3796,520,40
27,3880,259,85
28,3884,518,63
29,4006,286,15
30,4010,597,68
30,4010,597,69
30,4010,598,69
31,4053,366,56
32,4142,110,56
33,4229,224,82
34,4366,249,41
34,4366,250,41
35,4884,291,39
36,4905,15,42
37,4988,293,87
38,5009,20,89
39,5215,146,11
40,5375,277,82
41,5396,5,75
42,6269,66,29
43,6545,117,52
43,6545,117,53
44,6545,116,55
44,6545,117,55
45,6805,309,85
46,6847,37,77
46,6847,38,77
47,8032,226,50
48,8803,62,15
49,10744,41,0
50,10745,41,0
51,10840,64,0
52,10841,62,0
53,11330,80,0
54,11331,85,0
55,11426,98,0
56,11427,103,0
57,11616,174,0
57,11616,175,0
58,11950,321,0
59,11951,322,0
60,14636,269,0
60,14636,270,0
61,14637,268,0
61,14637,269,0
62,17706,195,0
63,17707,200,0

Event: 6
0,514,99,922
0,514,99,923
1,584,220,647
1,584,220,648
2,612,203,664
3,612,230,1431
3,612,230,1432
3,612,230,1433
