sp_x, sp_y, sp_z

Event: 0
-41.2205,-55.0038,-7.71131
-39.9271,-55.6593,34.4039
-20.5007,-64.5608,-165.39
-21.072,-66.2824,-168.963
-111.088,25.5321,-57.1636
-69.2978,-89.9109,8.10027
-70.2697,-91.132,8.64558
-70.4669,-91.0283,8.92039
-69.0184,-91.7901,9.725
-65.336,-93.7267,78.9954
-35.824,-107.921,-256.154
-165.922,35.1619,-69.4202
-167.648,35.4351,-69.7912
-106.022,-132.849,27.925
-94.723,-141.089,133.246
-56.3994,-160.105,-366.716
-294.502,-562.742,-1292.5
-254.827,46.8927,-88.7
-170.628,-201.775,61.1
-166.123,-197.233,58.7
-140.327,-222.666,223.6
-92.6173,-241.13,-541.9
-353.984,54.2875,-110.3
-242.852,-270.434,95.9
-238.479,-266.335,93.5
-183.519,-311.722,320.1
-140.648,-334.96,-749.9
-137.794,-329.803,-738.5
-495.019,54.5443,-141.5
-348.694,-357.569,142.7
-236.459,-443.82,458.6
-212.791,-452.773,-1022.7
-658.937,39.7503,-176.8
-484.037,-450.189,199.6
-283.015,-598.65,615.6

Event: 15
-70.5947,154.413,-623.8
-70.4527,153.978,-622.6
-14.3722,28.5802,-249.173
-18.5664,28.1027,-317.96
-19.1354,27.3777,-317.659
-28.931,15.1989,-119.606
-31.4627,6.14625,-110.364
-32.5074,2.65752,-174.375
-32.9598,6.40916,-107.933
-29.8084,60.9057,-346.41
-59.6372,32.0776,-73.8997
-61.087,32.9218,-71.7171
-66.9498,12.3474,-52.6192
-68.7666,4.80722,-187.993
-49.3553,103.664,-474.064
-100.133,55.6284,-12.6957
-113.361,6.40576,-204.732
-113.35,19.1558,22.7994
-114.964,6.44536,-205.325
-146.764,84.8109,59.5504
-148.173,85.7189,61.739
-168.053,25.5934,111.541
-169.367,6.8917,-225.904
-171.013,6.85312,-226.525
-182.026,584.503,-1847.5
-165.592,479.075,-1552.5
-146.087,390.907,-1302.5
-103.282,243.475,-881.8
-101.172,237.274,-863.8
-224.456,138.511,184
-219.57,134.931,175.6
-259.406,32.4514,259.6
-259.443,3.68317,-260
-299.975,197.158,309.3
-359.389,34.1501,421.4
-360.893,-5.90791,-299.3
-407.159,293.066,499.3
-501.584,26.5794,651
-497.593,-28.9356,-352.5
-516.568,411.588,712.1
-659.563,2.89215,905.8
-654.716,-70.61,-414.2

Event: 16
33.018,-6.89212,-30.3374
-18.112,-26.407,-103.192
-19.0992,-27.8402,-107.575
21.3754,-24.5234,20.7831
31.355,-6.53147,-29.925
