spB_x, spB_y, spB_z, spM_x, spM_y, spM_z, spT_x, spT_y, spT_z, weight, z_vertex

Event: 0
-52.3603,-42.9359,-76.225,-88.788,-72.7757,-84.875,-132.291,-108.503,-95.2398,-0.129497,-63.7865
-3.34503,-32.5903,-62.975,-6.91333,-67.3655,-62.125,-11.5833,-113.356,-61.025,399.972,-63.7716
-25.31,-20.7581,-69.775,-52.3603,-42.9359,-76.225,-88.788,-72.7757,-84.875,399.994,-63.7391
-25.31,-20.7581,-69.775,-53.6372,-43.9605,-76.525,-88.788,-72.7757,-84.875,399.968,-63.7408
-25.31,-20.7581,-69.775,-88.788,-72.7757,-84.875,-132.291,-108.503,-95.2398,-0.0427355,-63.7523
-53.6372,-43.9605,-76.525,-88.788,-72.7757,-84.875,-132.291,-108.503,-95.2398,-0.0630297,-63.7846
-53.6372,-43.9605,-76.525,-88.788,-72.7757,-84.875,-131.031,-107.477,-94.9356,-0.0741769,-63.7846
-52.3603,-42.9359,-76.225,-88.788,-72.7757,-84.875,-132.291,-108.503,-95.2398,-0.129497,-63.7865
-3.34503,-32.5903,-62.975,-6.91333,-67.3655,-62.125,-11.5833,-113.356,-61.025,399.972,-63.7716
-25.31,-20.7581,-69.775,-52.3603,-42.9359,-76.225,-88.788,-72.7757,-84.875,399.994,-63.7391
-25.31,-20.7581,-69.775,-53.6372,-43.9605,-76.525,-88.788,-72.7757,-84.875,399.968,-63.7408
-25.31,-20.7581,-69.775,-88.788,-72.7757,-84.875,-132.291,-108.503,-95.2398,-0.0427355,-63.7523
-53.6372,-43.9605,-76.525,-88.788,-72.7757,-84.875,-132.291,-108.503,-95.2398,-0.0630297,-63.7846
-53.6372,-43.9605,-76.525,-88.788,-72.7757,-84.875,-131.031,-107.477,-94.9356,-0.0741769,-63.7846
